ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY
131219717,2013,2013/12/24 05:00:00+00,1500,VICTORIA PARK AVE,O CONNOR DR,Major Arterial,North York,1620,43.722369,-79.301685,Mid-Block,Intersection Related,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,72,Fatal
141375171,2014,2014/01/19 05:00:00+00,2145,EGLINTON AVE W,NORTHCLIFFE BLVD,Major Arterial,North York,812,43.69625,-79.447673,Intersection,At Intersection,Traffic Signal,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
141413547,2014,2014/01/26 05:00:00+00,1310,SHEPPARD AVE E,CONSUMERS RD,Major Arterial,North York,17,43.775088,-79.331226,Intersection,Intersection Related,Traffic Signal,Snow,Daylight,Loose Snow,Fatal,Rear End,Driver,72,Fatal
141513588,2014,2014/02/12 05:00:00+00,127,DANFORTH RD,HIBBERTS DR,Minor Arterial,Scarborough,20,43.708708,-79.267062,Intersection,Intersection Related,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
141518658,2014,2014/02/12 05:00:00+00,2017,ST CLAIR AVE E,HERRON AVE,Major Arterial,Scarborough,20,43.711142,-79.285129,Mid-Block,Intersection Related,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
141603063,2014,2014/02/26 05:00:00+00,1646,YORK MILLS RD,UPJOHN RD,Major Arterial,North York,16,43.75495,-79.350871,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,82,Fatal
141649049,2014,2014/03/06 05:00:00+00,735,PRINCE EDWARD DR N,SHAND AVE,Collector,Etobicoke York,3,43.65729,-79.509113,Intersection,Intersection Related,No Control,Snow,Daylight,Slush,Fatal,SMV Other,Driver,52,Fatal
141945030,2014,2014/04/23 04:00:00+00,1755,DUNDAS ST W,KENSINGTON AVE,Major Arterial,Toronto and East York,1110,43.652541,-79.39986,Intersection,Intersection Related,No Control,Clear,Daylight,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
142041479,2014,2014/05/08 04:00:00+00,2108,RENFORTH DR,ERINGATE DR,Minor Arterial,Etobicoke York,2,43.660464,-79.583576,Mid-Block,Intersection Related,No Control,Clear,Dusk,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
142049204,2014,2014/05/10 04:00:00+00,233,DUNDAS ST W,AUGUSTA AVE,Major Arterial,Toronto and East York,1110,43.652262,-79.401134,Intersection,Intersection Related,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
142120007,2014,2014/05/21 04:00:00+00,610,HIGHWAY 27  S,BELFIELD RD,Major Arterial,Etobicoke York,1,43.699229,-79.587123,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Rear End,Driver,42,Fatal
142211983,2014,2014/06/03 04:00:00+00,1250,53 CRAIGMORE CRES,Non-Fatal,Local,North York,18,43.763236,-79.397456,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,90,Fatal
142300273,2014,2014/06/16 04:00:00+00,827,BROADVIEW AVE,FatalIRVIEW BLVD,Minor Arterial,Toronto and East York,14,43.675116,-79.357845,Mid-Block,Intersection Related,No Control,Rain,Daylight,Wet,Fatal,SMV Other,Motorcycle Driver,48,Fatal
142454660,2014,2014/07/08 04:00:00+00,1024,MCNICOLL AVE,PHARMACY AVE,Minor Arterial,Scarborough,22,43.804114,-79.330722,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Passenger,85,Fatal
142471584,2014,2014/07/10 04:00:00+00,1909,BLOOR ST W,DUNDAS ST W,Minor Arterial,Toronto and East York,4,43.656863,-79.452602,Mid-Block,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,68,Fatal
142510103,2014,2014/07/16 04:00:00+00,1615,MCRAE DR,MILLWOOD RD,Collector,North York,15,43.704775,-79.368121,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,7,Fatal
142586405,2014,2014/07/28 04:00:00+00,553,HUMBERLINE DR,FINCH AVE W,Major Arterial,Etobicoke York,1,43.73503,-79.617862,Intersection,At Intersection,Traffic Signal,Rain,Dawn,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
142588079,2014,2014/07/28 04:00:00+00,1200,DUDLEY AVE,FINCH AVE E,Major Arterial,North York,18,43.781047,-79.409702,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Fatal,Turning Movement,Driver,90,Fatal
4002616805,2014,2014/08/01 04:00:00+00,1722,SHEPPARD AVE E,NEILSON RD,Major Arterial,Scarborough,2325,43.798106,-79.21767,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,72,Non-Fatal
142655086,2014,2014/08/07 04:00:00+00,1618,5800 YONGE ST,Non-Fatal,Major Arterial,North York,18,43.784381,-79.416683,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,42,Fatal
142657110,2014,2014/08/07 04:00:00+00,2214,ST CLAIR AVE W,LANSDOWNE AVE,Major Arterial,Toronto and East York,9,43.675994,-79.45193,Mid-Block,Intersection Related,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
4002712534,2014,2014/08/16 04:00:00+00,515,KENNEDY RD,BONIS AVE,Major Arterial,Scarborough,22,43.78575,-79.289455,Intersection,Intersection Related,Traffic Signal,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
142723300,2014,2014/08/17 04:00:00+00,2306,DAWES RD,GOWER ST,Minor Arterial,Toronto and East York,19,43.702246,-79.296924,Intersection,At Intersection,Traffic Signal,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001151188,2021,2021/06/19 04:00:00+00,2219,LAKE SHORE BLVD W,FORTY SECOND ST,Major Arterial,Etobicoke York,10,43.589678,-79.545596,Intersection,At Intersection,Stop Sign,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001163687,2021,2021/06/21 04:00:00+00,1842,FINCH AVE E,KENNETH AVE,Major Arterial,North York,11,43.780165,-79.413295,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Rear End,Passenger,77,Fatal
1001195784,2021,2021/06/26 04:00:00+00,1004,HUNTINGWOOD DR,COLINAYRE CRES,Minor Arterial,Scarborough,22,43.794505,-79.295528,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Motorcycle Driver,55,Non-Fatal
1001249614,2021,2021/07/03 04:00:00+00,2233,DON VALLEY PARKWAY  S,GERRARD ST E,Expressway,Toronto and East York,12,43.662265,-79.355258,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
